AniList 标签,分类,成人标签,AniList 定义,优化前译名,建议译名,采用译名,变更类型,状态,问题说明,参考语境,来源
Indigenous Cultures,Theme-Other,否,Prominently features real-life indigenous cultures.,,原住民文化,原住民文化,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Inn,Setting-Scene,否,Partially or completely set in an Inn or Hotel.,,旅馆,旅馆,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Inseki,Theme-Romance,否,"Features sexual or romantic relations among step, adopted, and other non-blood related family members.",,非血缘亲属恋爱,非血缘亲属恋爱,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Interspecies,Theme-Romance,否,Romance between characters of different species.,,跨种族恋爱,跨种族恋爱,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Irrumatio,Sexual Content,是,Oral rape; features a character thrusting their genitalia or a phallic object into the mouth of another character.,,强制口交,强制口交,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Isekai,Theme-Fantasy,否,Features a character from a modern-day setting being transported into an alternate world and has to adapt to their new surroundings.,异世界,异世界,异世界,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Iyashikei,Theme-Slice of Life,否,Primary aim is to heal the audience through serene depictions of characters' daily lives.,治愈系,治愈系,治愈系,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Jazz Music,Theme-Arts-Music,否,"Centers on the musical style of jazz, not to be applied to anime that use jazz in its soundtrack.",,爵士乐,爵士乐,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Josei,Demographic,否,Target demographic is adult females.,女性向,女性向,女性向,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Judo,Theme-Game-Sport,否,Centers around the sport of judo.,柔道,柔道,柔道,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Kabuki,Theme-Arts,否,Prominently features the traditional Japanese theater art of kabuki.,,歌舞伎,歌舞伎,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Kaiju,Theme-Fantasy,否,Prominently features giant monsters.,怪兽,怪兽,怪兽,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Karuta,Theme-Game-Card & Board Game,否,Centers around the game of karuta.,歌牌,歌牌,歌牌,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Kemonomimi,Cast-Traits,否,Prominently features humanoid characters with animal ears.,兽耳,兽耳,兽耳,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Kids,Demographic,否,Target demographic is young children.,儿童,儿童,儿童,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Kingdom Management,Theme-Drama,否,"Characters in these series take on the responsibility of running a town or kingdom, whether they take control of an existing one, or build their own from the ground up.",,领地经营,领地经营,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Konbini,Setting-Scene,否,Predominantly features a convenience store.,,便利店,便利店,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Kuudere,Cast-Traits,否,"Prominently features a character who generally retains a cold, blunt and cynical exterior, but once one gets to know them, they have a very warm and loving interior.",酷娇,冷娇,冷娇,优化,已采用,由“酷娇”调整为更符合大陆动漫社区语境的说法,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Lacrosse,Theme-Game-Sport,否,A team game played with a ball and lacrosse sticks.,长曲棍球,长曲棍球,长曲棍球,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Lactation,Sexual Content,是,Features breast milk play and production.,,乳汁,乳汁,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Language Barrier,Theme-Other,否,A barrier to communication between people who are unable to speak a common language.,语言障碍,语言障碍,语言障碍,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Large Breasts,Sexual Content,是,Features a character with larger-than-average breasts.,,巨乳,巨乳,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
LGBTQ+ Themes,Theme-Other,否,"Prominently features characters or themes associated with the LGBTQ+ community, such as sexuality or gender identity.",LGBTQ+主题,LGBTQ+主题,LGBTQ+主题,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Long Strip,Technical,否,"Manga originally published in a vertical, long-strip format, designed for viewing on smartphones. Also known as webtoons.",,条漫,条漫,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Lost Civilization,Theme-Other,否,Featuring a civilization with few ruins or records that exist in present day knowledge.,失落文明,失落文明,失落文明,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Love Triangle,Theme-Romance,否,Centered around romantic feelings between more than two people. Includes all love polygons.,三角恋,三角恋,三角恋,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Mafia,Theme-Other-Organisations,否,Centered around Italian organised crime syndicates.,黑手党,黑手党,黑手党,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Magic,Theme-Fantasy,否,Prominently features magical elements or the use of magic.,魔法,魔法,魔法,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Mahjong,Theme-Game-Card & Board Game,否,Centered around the game of mahjong.,麻将,麻将,麻将,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Maids,Cast-Traits,否,Prominently features a character who is a maid.,女仆,女仆,女仆,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Makeup,Theme-Arts,否,Centers around the makeup industry.,化妆,化妆,化妆,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Male Harem,Theme-Romance,否,Main cast features the protagonist plus several male characters who are romantically interested in them.,后宫（男）,逆后宫,逆后宫,优化,已采用,由“后宫（男）”调整为更符合大陆动漫社区语境的说法,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Male Pregnancy,Sexual Content,是,Features pregnant male characters in a sexual context.,,男性怀孕,男性怀孕,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Male Protagonist,Cast-Main Cast,否,Main character is male.,男主角,男主角,男主角,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Manzai,Theme-Arts,否,Prominently features an act of traditional Japanese comedy that involves two performers.,,漫才,漫才,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Marriage,Theme-Other,否,Centers around marriage between two or more characters.,婚姻,婚姻,婚姻,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Martial Arts,Theme-Action,否,Centers around the use of traditional hand-to-hand combat.,武术,武术,武术,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Masochism,Sexual Content,是,Prominently features characters who get sexual pleasure from being hurt or controlled by others.,,受虐癖,受虐癖,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Masturbation,Sexual Content,是,Features erotic stimulation of one's own genitalia or other erogenous regions.,,自慰,自慰,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Matchmaking,Theme-Romance,否,Prominently features either a matchmaker or events with the intent of matchmaking with eventual marriage in sight.,,相亲,相亲,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Mating Press,Sexual Content,是,"Features the sex position in which two partners face each other, with one of them thrusting downwards and the other's legs tucked up towards their head.",,种付位,种付位,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Matriarchy,Theme-Other,否,Prominently features a country that is ruled by a Queen or a society that is dominated by female inheritance.,,母系社会,母系社会,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Medicine,Theme-Other,否,Centered around the activities of people working in the field of medicine.,医学,医学,医学,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Medieval,Setting-Time,否,Partially or completely set in the Middle Ages or a Middle Ages-inspired setting. Commonly features elements such as European castles and knights.,,中世纪,中世纪,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Memory Manipulation,Theme-Other,否,Prominently features a character(s) who has had their memories altered.,记忆操纵,记忆操纵,记忆操纵,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Mermaid,Cast-Traits,否,A mythological creature with the body of a human and the tail of a fish.,人鱼,人鱼,人鱼,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Meta,Theme-Other,否,Features fourth wall-breaking references to itself or genre tropes.,元叙事,元叙事,元叙事,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Metal Music,Theme-Arts-Music,否,"Centers on the musical style of metal, not to be applied to anime that use metal in its soundtrack.",,金属乐,金属乐,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Middle east,Setting-Scene,否,"Partially or completely set in the Middle East, does not apply to fantasy settings.",,中东,中东,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
MILF,Sexual Content,是,Features sexual intercourse with older women.,,熟女,熟女,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Military,Theme-Other-Organisations,否,Centered around the life and activities of military personnel.,军事,军事,军事,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Mixed Gender Harem,Theme-Romance,否,"Main cast features the protagonist plus several people, regardless of gender, who are romantically interested in them.",男女混合后宫,混合后宫,混合后宫,优化,已采用,由“男女混合后宫”调整为更符合大陆动漫社区语境的说法,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Mixed Media,Technical,否,"Features a combination of different media and animation techniques. Often seen with puppetry, textiles, live action footage, stop motion, and more. This does not include works with normal usage of CGI in their production.",,混合媒介,混合媒介,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Modeling,Theme-Arts,否,"Features a line of work with the purpose of displaying and advertising products such as makeup, clothing, and jewelry. Also includes posing artistically for figure drawing, painting, sculpting, and photography.",,模特,模特,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Monster Boy,Cast-Traits,否,Prominently features a male character who is a part-monster.,男怪物,魔物男,魔物男,优化,已采用,由“男怪物”调整为更符合大陆动漫社区语境的说法,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Monster Girl,Cast-Traits,否,Prominently features a female character who is part-monster.,女怪物,魔物娘,魔物娘,优化,已采用,由“女怪物”调整为更符合大陆动漫社区语境的说法,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Mopeds,Theme-Other-Vehicle,否,Prominently features mopeds.,轻便摩托,轻便摩托,轻便摩托,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Motorcycles,Theme-Other-Vehicle,否,Prominently features the use of motorcycles.,摩托车,摩托车,摩托车,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Mountaineering,Theme-Other,否,Prominently features characters discussing or hiking mountains.,,登山,登山,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Musical Theater,Theme-Arts-Music,否,"Features a performance that combines songs, spoken dialogue, acting, and dance.",,音乐剧,音乐剧,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Mythology,Theme-Fantasy,否,"Prominently features mythological elements, especially those from religious or cultural tradition.",神话,神话,神话,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Nakadashi,Sexual Content,是,Creampie; features sexual ejaculation inside of a character.,,中出,中出,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Natural Disaster,Setting-Scene,否,"It focuses on catastrophic events of natural origin, such as earthquakes, tsunamis,  volcanic eruptions, and severe storms. These works often present situations of extreme danger in which the characters struggle to survive and overcome the adversity.",,自然灾害,自然灾害,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Necromancy,Theme-Fantasy,否,"When the dead are summoned as spirits, skeletons, or the undead, usually for the purpose of gaining information or to be used as a weapon.",死灵术,死灵术,死灵术,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Nekomimi,Cast-Traits,否,Humanoid characters with cat-like features such as cat ears and a tail.,猫耳,猫耳,猫耳,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Netorare,Sexual Content,是,Netorare is what happens when the protagonist gets their partner stolen from them by someone else. It is a sexual fetish designed to cause sexual jealousy by way of having the partner indulge in sexual activity with someone other than the protagonist.,,NTR,NTR,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Netorase,Sexual Content,是,Features characters in a romantic relationship who agree to be sexually intimate with others.,,寝取让（NTS）,寝取让（NTS）,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Netori,Sexual Content,是,Features the protagonist stealing the partner of someone else. The opposite of netorare.,,寝取,寝取,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Ninja,Cast-Traits,否,"Prominently features Japanese warriors traditionally trained in espionage, sabotage and assasination.",忍者,忍者,忍者,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
No Dialogue,Technical,否,This work contains no dialogue.,无对白,无对白,无对白,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Noir,Theme-Other,否,Stylized as a cynical crime drama with low-key visuals.,黑色电影,黑色犯罪剧,黑色犯罪剧,优化,已采用,由“黑色电影”调整为更符合大陆动漫社区语境的说法,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Non-fiction,Technical,否,A work that provides information regarding a real world topic and does not focus on an imaginary narrative.,非虚构,非虚构,非虚构,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Nudity,Cast-Traits,否,Features a character wearing no clothing or exposing intimate body parts.,裸体,裸露,裸露,优化,已采用,由“裸体”调整为更符合大陆动漫社区语境的说法,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Nun,Cast-Traits,否,Prominently features a character who is a nun.,修女,修女,修女,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Office,Setting-Scene,否,Features people who work in a business office.,,办公室,办公室,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Office Lady,Cast-Traits,否,Prominently features a female office worker or OL.,职场女性,OL,OL,优化,已采用,由“职场女性”调整为更符合大陆动漫社区语境的说法,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Oiran,Cast-Traits,否,Prominently features a courtesan character of the Japanese Edo Period.,花魁,花魁,花魁,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Ojou-sama,Cast-Traits,否,"Features a wealthy, high-class, oftentimes stuck up and demanding female character.",大小姐,大小姐,大小姐,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Omegaverse,Setting-Universe,是,"Alternative universe that prominently features dynamics modeled after wolves in which there are alphas, betas, and omegas and heat cycles as well as impregnation, regardless of gender.",,ABO设定,ABO设定,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Orphan,Cast-Traits,否,Prominently features a character that is an orphan.,孤儿,孤儿,孤儿,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Otaku Culture,Theme-Other,否,Centers around the culture of a fanatical fan-base.,宅文化,宅文化,宅文化,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Outdoor Activities,Setting-Scene,否,"Centers around hiking, camping or other outdoor activities.",,户外活动,户外活动,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Oyakodon,Sexual Content,是,Features a character who has sexual relations with both the mother and her daughter.,,母女丼,母女丼,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Pandemic,Theme-Other,否,Prominently features a disease prevalent over a whole country or the world.,疫情,疫情,疫情,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Parenthood,Theme-Slice of Life,否,Centers around the experience of raising a child.,,育儿,育儿,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Parkour,Theme-Game-Sport,否,Centers around the sport of parkour.,跑酷,跑酷,跑酷,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Parody,Theme-Comedy,否,Features deliberate exaggeration of popular tropes or a particular genre to comedic effect.,恶搞,恶搞,恶搞,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Pet Play,Sexual Content,是,Treating a participant as though they were a pet animal. Often involves a collar and possibly BDSM.,,宠物扮演,宠物扮演,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Philosophy,Theme-Other,否,"Relating or devoted to the study of the fundamental nature of knowledge, reality, and existence.",哲学,哲学,哲学,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Photography,Theme-Arts,否,Centers around the use of cameras to capture photos.,摄影,摄影,摄影,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Pirates,Cast-Traits,否,Prominently features sea-faring adventurers branded as criminals by the law.,海盗,海盗,海盗,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Poker,Theme-Game-Card & Board Game,否,Centers around the game of poker or its variations.,扑克,扑克,扑克,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Police,Theme-Other-Organisations,否,Centers around the life and activities of law enforcement officers.,警察,警察,警察,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Politics,Theme-Other,否,"Centers around politics, politicians, or government activities.",政治,政治,政治,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Polyamorous,Theme-Romance,否,Features a character who is in a consenting relationship with multiple people at one time.,,多边恋,多边恋,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Post-Apocalyptic,Setting-Universe,否,Partly or completely set in a world or civilization after a global disaster.,末日题材,末世,末世,优化,已采用,由“末日题材”调整为更符合大陆动漫社区语境的说法,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
POV,Technical,否,Point of View; features scenes shown from the perspective of the series protagonist.,主观视角,主观视角,主观视角,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Pregnancy,Theme-Other,否,Features pregnant female characters or discusses the topic of pregnancy.,,怀孕,怀孕,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Primarily Adult Cast,Cast-Main Cast,否,Main cast is mostly composed of characters above a high school age.,成人角色为主,成人角色为主,成人角色为主,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
